date,reliance infra share price,Category,index
2025-07-22 19:00:00,0.0,Finance,
2025-07-22 20:00:00,0.0,Finance,
2025-07-22 21:00:00,0.0,Finance,
2025-07-22 22:00:00,0.0,Finance,
2025-07-22 23:00:00,0.0,Finance,
2025-07-23 00:00:00,0.0,Finance,
2025-07-23 01:00:00,0.0,Finance,
2025-07-23 02:00:00,0.0,Finance,
2025-07-23 03:00:00,34.0,Finance,
2025-07-23 04:00:00,71.0,Finance,
2025-07-23 05:00:00,39.0,Finance,
2025-07-23 06:00:00,40.0,Finance,
2025-07-23 07:00:00,42.0,Finance,
2025-07-23 08:00:00,47.0,Finance,
2025-07-23 09:00:00,37.0,Finance,
2025-07-23 10:00:00,20.0,Finance,
2025-07-23 11:00:00,14.0,Finance,
2025-07-23 12:00:00,0.0,Finance,
2025-07-23 13:00:00,0.0,Finance,
2025-07-23 14:00:00,7.0,Finance,
2025-07-23 15:00:00,0.0,Finance,
2025-07-23 16:00:00,0.0,Finance,
2025-07-23 17:00:00,0.0,Finance,
2025-07-23 18:00:00,0.0,Finance,
2025-07-23 19:00:00,0.0,Finance,
2025-07-23 20:00:00,0.0,Finance,
2025-07-23 21:00:00,0.0,Finance,
2025-07-23 22:00:00,0.0,Finance,
2025-07-23 23:00:00,0.0,Finance,
2025-07-24 00:00:00,0.0,Finance,
2025-07-24 01:00:00,0.0,Finance,
2025-07-24 02:00:00,0.0,Finance,
2025-07-24 03:00:00,24.0,Finance,
2025-07-24 04:00:00,54.0,Finance,
2025-07-24 05:00:00,36.0,Finance,
2025-07-24 06:00:00,56.0,Finance,
2025-07-24 07:00:00,56.0,Finance,
2025-07-24 08:00:00,42.0,Finance,
2025-07-24 09:00:00,41.0,Finance,
2025-07-24 10:00:00,30.0,Finance,
2025-07-24 11:00:00,21.0,Finance,
2025-07-24 12:00:00,20.0,Finance,
2025-07-24 13:00:00,15.0,Finance,
2025-07-24 14:00:00,14.0,Finance,
2025-07-24 15:00:00,7.0,Finance,
2025-07-24 16:00:00,10.0,Finance,
2025-07-24 17:00:00,17.0,Finance,
2025-07-24 18:00:00,0.0,Finance,
2025-07-24 19:00:00,0.0,Finance,
2025-07-24 20:00:00,0.0,Finance,
2025-07-24 21:00:00,0.0,Finance,
2025-07-24 22:00:00,0.0,Finance,
2025-07-24 23:00:00,0.0,Finance,
2025-07-25 00:00:00,0.0,Finance,
2025-07-25 01:00:00,0.0,Finance,
2025-07-25 02:00:00,0.0,Finance,
2025-07-25 03:00:00,43.0,Finance,
2025-07-25 04:00:00,100.0,Finance,
2025-07-25 05:00:00,49.0,Finance,
2025-07-25 06:00:00,48.0,Finance,
2025-07-25 07:00:00,42.0,Finance,
2025-07-25 08:00:00,40.0,Finance,
2025-07-25 09:00:00,44.0,Finance,
